entrez_gene_ida,entrez_gene_idb
3718,51382
5537,59348
5156,80762
4841,7439
355,27258
5371,23678
2065,285237
4781,114609
90,55280
4129,10664
2287,4835
5995,55324
445,64785
4670,8743
5152,161253
6317,10671
5502,414918
410,1627
5865,91653
3920,7327
3059,6297
2107,55716
293,7760
6472,246329
975,10577
977,55255
821,29028
3109,5664
2167,2641
1058,53938
5008,146542
5031,7726
347,4589
760,5802
685,84726
2277,7597
2555,9050
5162,51530
2820,79680
2639,84240
2173,6811
3705,80723
1104,89857
5711,55356
2898,151188
572,8817
5627,10494
949,112885
1482,55454
4171,91584
3119,220202
1748,117177
5367,79608
4693,11163
4907,257397
2841,92906
5089,50853
1315,23516
389,54830
4660,387032
821,22899
10,3301
4336,64432
3006,56654
5202,126070
5935,10291
6257,6373
1854,91442
947,90203
3146,7004
1264,27315
3628,134510
1667,158427
5711,93426
4600,79023
539,29121
5718,9419
1209,83746
5991,57715
1315,51440
705,22889
318,60672
2811,5819
3514,553115
5861,63970
1468,83733
10171,91975
79956,90737
8581,93973
1659,27314
1316,653437
6817,9425
9081,162681
6288,51747
27178,286499
9941,171425
2591,55652
51371,219844
139741,441242
79089,81570
56990,255193
2053,2635
5648,400120
5250,26024
9252,64342
57862,84418
4760,8682
54850,283635
9810,284451
10481,94039
25942,25975
5603,9252
11116,158067
10811,27132
10584,148479
6009,9917
79810,115362
10916,57162
8190,26097
1261,1485
5303,55198
23452,51068
54808,79669
1388,3576
55718,115761
5874,494150
29940,29952
2214,30010
5036,388650
1841,30001
3454,80254
639,63969
54913,84163
28793,81033
4063,125488
9158,165721
54677,55324
10921,81545
2149,84518
7284,28971
9129,29844
2208,159163
9796,285855
639,1043
1036,54602
1139,64114
4276,55748
51548,653391
2799,255877
79730,84944
28990,541468
4739,6187
10632,166785
10327,80700
9060,284486
975,113220
55631,79734
8045,64118
9204,51015
22948,116541
3098,90324
1015,253782
60412,113835
78999,143384
57823,84892
25904,30846
7733,10363
3049,147920
811,10797
8294,22795
7753,135927
8974,51135
8615,144809
6900,8973
6514,51263
311,346653
825,3849
51256,65258
9784,23746
51074,115811
2038,56681
8372,84844
84545,125875
4148,114899
140625,388818
113201,440905
245932,255061
551,80224
9228,22823
4000,5096
199,222234
94,10509
9988,219844
9108,255057
6515,55572
23528,91368
51099,55151
1678,11311
63924,83933
26525,163351
6811,151254
221002,554236
1487,80212
23657,28378
7013,29068
8337,389123
1102,196541
23187,55515
25842,55699
1265,3236
7069,8050
23197,55536
4192,4534
9021,22865
5049,285636
150165,152579
9915,388533
84134,91687
148203,162979
782,54472
58530,116254
84759,653404
114038,348235
11253,29122
131540,148345
56139,442247
2668,84934
9804,283685
18,201798
27074,85397
27158,51295
5303,51447
354,79707
51150,90233
582,1159
10241,254158
9689,51319
84101,142686
79039,256691
2796,245936
10827,54951
1962,54602
5407,11182
64773,80207
1506,9650
1678,283237
79031,140625
55902,113115
4494,84529
3812,79017
4719,7141
58528,115004
7566,51596
212,26119
11094,55771
3481,23335
26520,202559
1,55471
5372,10390
35,60506
416,79041
114822,440248
2796,55063
11221,54585
7652,7733
11277,115950
920,2115
5316,65263
56243,60675
5885,391123
5423,92960
4004,158584
29078,285671
51548,147948
1798,9235
5268,7068
7923,51292
3419,347694
8302,54108
10814,55610
8940,117581
55192,112714
84330,154796
57222,170622
10631,139596
6201,7448
22955,85369
292,152756
7923,117154
57707,83759
3586,6370
9482,78989
10231,11170
22872,64081
3150,92714
2052,257000
382,800
6742,11285
23559,51596
5901,23478
534,200014
10078,158399
6633,26286
222234,283687
187,11072
9946,54058
8655,10627
85291,91746
5272,84553
342898,653145
51079,56104
7020,22889
5165,378884
4665,89941
5931,10253
28396,85352
29990,79091
5553,283025
2778,26279
2668,23509
5858,10384
9236,27238
8454,25898
6716,9767
5771,10461
3454,114088
2846,2885
8382,254863
4660,6564
25903,84757
29960,118433
1386,55702
6941,168975
5876,10454
55184,317662
51078,90407
23326,158234
120400,152405
11105,56997
25936,167465
57464,80321
3537,6863
9617,10608
10169,339184
2516,26167
6274,57510
5199,10500
27294,51249
2822,54869
5292,353144
57095,114990
79315,201798
10049,84224
8625,401466
57698,100272147
8621,134957
4253,80219
51540,54205
10316,79415
6232,90196
902,81341
10400,29127
29915,341405
10902,55006
1374,123355
375,29940
4534,57509
25956,64969
762,22907
29927,83897
153830,317671
6175,8418
1392,81285
2537,6829
2939,10512
4521,65993
3805,10577
6482,51290
23436,63898
7850,9741
27341,84719
637,51601
3737,57057
79807,441478
1933,29902
10252,79583
9946,26262
8974,79005
25934,57054
51466,146540
221,160287
3215,51318
23475,337963
79001,164633
55924,153218
10382,55111
10966,54769
57152,126364
6744,348094
55342,57795
4714,7083
6945,26088
29920,79944
6198,337867
3015,6037
5932,79947
6448,55764
4292,83483
3983,55884
1019,342945
9946,391123
25839,342132
127396,146378
5723,6037
80818,199720
373,5886
23555,342898
56934,64221
7627,8406
1300,133686
6366,79707
8131,129285
6367,122786
1442,4191
10159,342945
84851,168433
8452,84163
3091,80003
83648,162427
10461,112609
1386,130589
22880,57414
51078,79846
1809,55013
10758,147664
10826,255426
1193,7421
10524,23220
54927,89891
2251,91523
5530,140735
3226,7390
637,80032
23450,388753
53829,79665
4779,6900
6392,114928
55335,59284
51076,55858
26167,123264
7356,79922
2870,162989
54221,84639
4598,131566
4725,57045
1014,171425
196074,283685
10786,138046
9541,51661
8992,55324
154865,284467
8749,25913
10786,22998
701,339168
112858,120224
23172,84709
4869,8815
79876,136263
8702,27229
275,23568
3678,79602
350,57414
6207,8200
1469,10026
23673,57102
355,140767
81616,148362
859,5875
4291,51021
83707,139322
10782,23536
57179,79828
117248,130872
1621,26212
5901,55257
83983,220047
5481,254122
257000,360132
134,90407
1808,26036
29085,92703
10613,29927
5034,375611
6223,9457
5800,10483
9827,57464
2864,7690
8419,151473
9781,80723
58497,200185
3746,51133
57038,57116
6451,83861
93659,162989
989,219738
5026,5537
6835,375341
2765,8352
10073,133121
57631,374291
117157,161198
51554,79041
5998,55608
201134,652968
79041,91893
79696,140947
5408,64951
11261,56341
6884,10171
81926,283635
1318,90050
29993,54545
7696,51501
50999,115106
3495,55660
80045,146562
90288,389434
1267,6289
6690,353174
4907,54033
5216,10773
8788,55109
9111,10142
25864,144097
6271,53831
3459,148109
5471,7386
5371,51314
8522,29920
51246,80142
4129,5499
65062,112401
55740,79170
29984,57129
4068,10469
8225,9976
54851,441493
25941,84734
56656,144321
55287,255330
8747,133688
57798,64806
1610,25906
10631,113510
2671,5638
50848,144809
5625,83876
55199,147166
22885,57691
9779,10327
3732,55145
3337,80227
4049,6385
6257,79158
1068,84057
79015,554207
6342,160364
83755,91833
4796,84958
5690,10635
84688,284274
218,27067
5775,196951
5724,7178
486,57484
58499,78996
2780,54535
1175,79767
30010,157724
4809,57634
7476,51203
80298,124944
1410,9724
2026,440184
285533,440482
8733,84057
6230,80231
4673,27248
5997,56652
66005,284942
4291,6003
599,11102
8697,83734
6778,65062
3347,3612
3612,653391
79794,340706
4336,57396
2952,6690
3927,80723
51510,196441
8940,286046
8785,55863
1081,353132
6541,7592
10454,91893
1496,50863
1896,6278
10159,554206
5723,6195
5264,54927
154091,441250
4543,55015
6133,353164
2167,5276
51022,51054
51308,63948
2745,389114
54867,139628
1551,57407
84811,151056
7357,135295
10555,11171
2553,79883
11149,91746
1175,9595
5157,54810
10276,55314
6720,9946
7182,25901
114625,284800
9766,54517
4118,64430
387,1082
7104,80790
768,2555
11221,55111
26212,51127
4010,139081
79648,284565
9988,161931
1288,145553
1731,1917
2073,51271
7388,339883
9825,11266
134957,158471
1543,58516
5612,348327
8969,283693
6195,64782
7423,51255
4745,128646
4118,6194
5919,29126
157,347731
23228,51669
131,9694
11019,150159
2045,2079
2993,653687
5589,51477
91056,124491
9731,139741
7518,339451
28,80745
7069,10052
84106,128178
1407,57708
2733,57624
22880,84193
5252,25844
2729,25793
57476,115939
2909,90273
10089,11149
26002,54995
51725,64805
5530,23556
4254,441476
1361,50485
23092,56954
7125,64223
6448,285150
247,3112
491,56919
6710,10227
51234,138162
3149,159195
26156,26286
84844,283643
130617,221472
10664,317705
51368,64170
2561,4809
28988,253190
23532,389434
10121,81559
7115,132160
56159,84197
1731,165721
7846,283638
2169,10096
4062,5295
1973,2720
51307,257203
11277,197257
51054,386724
84561,203228
2182,5791
9886,56181
5372,64794
2874,26238
5042,55530
8345,54788
91689,143425
51257,167838
7453,23276
4321,55622
79444,219293
4696,401466
26094,116832
2559,6727
29086,130617